"AutoText","Description"
"ab le","able"
"avble","able"
"abuot","about"
"abouyt","about"
"aboe","above"
"acknowleding","acknowledging"
"aquisition","acquisition"
"acitve","active"
"activityt","activity"
"additioal","additional"
"additioinal","additional"
"adbsied","advised"
"advuised","advised"
"advied","advised"
"adfvised","advised"
"adviused","advised"
"advsing","advising"
"alrts","alerts"
"aloready","already"
"aslways","always"
"abulatory","ambulatory"
"abnd","and"
"anbd","and"
"anc","and"
"appeaes","appears"
"approproate","appropriate"
"arouind","around"
"askign","asking"
"asisst","assist"
"assocated","associated"
"assicated","associated"
"assciated","associated"
"assocoated","associated"
"athis","at this"
"at ths","at this"
"atttachment","attachment"
"attemtpted","attempted"
"attemptiong","attempting"
"atempts","attempts"
"attmepts","attempts"
"authenticaed","authenticated"
"authenticted","authenticated"
"automartic","automatic"
"availaibility","availability"
"avaulable","available"
"avaible","available"
"availanle","available"
"bacvk","back"
"basges","badges"
"bveen","been"
"ebing","being"
"believbe","believe"
"brokwn","broken"
"buckket","bucket"
"buit","but"
"buttion","button"
"cbale","cable"
"calrndar","calendar"
"calle dback","called back"
"caling","calling"
"cna","cann"
"canot","cannot"
"crad","card"
"carilon","carilion"
"cuased","caused"
"chanign","changing"
"chartger","charger"
"charing","charging"
"checjed","checked"
"checjked","checked"
"clickl","click"
"clciking","clicking"
"clnic","clinic"
"close dout","closed out"
"colleauges","colleagues"
"colleagus","colleagues"
"combinraton","combination"
"cobination","combination"
"combinration","combination"
"commnicating","communicating"
"comptability","compatibility"
"compatability","compatibility"
"complted","completed"
"comproise","comprise"
"concentrtation","concentration"
"congfiguraton","configuration"
"confiuration","configuration"
"confiurm","confirm"
"cofinrmed","confirmed"
"conenct","connect"
"connecyed","connected"
"conneccting","connecting"
"conneciton","connection"
"connecttion","connection"
"constiuent","constituent"
"continmue","continue"
"crednetilas","credentials"
"currentrly","currently"
"curretly","currently"
"cutt off","cut off"
"defciency","deficiency"
"departmenrs","departments"
"deestkop","desktop"
"destinatiuons","destinations"
"deterined","determined"
"deice","device"
"dvecice","device"
"diagnoises","diagnoses"
"diagnosus","diagnosis"
"diagnoss","diagnosis"
"diffferent","different"
"difficuly","difficult"
"directoru","directory"
"disocnneted","disconnected"
"disocnnected","disconnected"
"dissapear","dissapear"
"disappara","dissapear"
"dissapears","dissapears"
"disapparas","dissapears"
"distribuition","distribution"
"distribition","distribution"
"distribtiopn","distribution"
"dockting","docking"
"documenation","documentation"
"documentaton","documentation"
"dfoes","does"
"doiing","doing"
"donle","dongle"
"doibe","double"
"doube","double"
"doule","double"
"doble-click","double-click"
"double-clcik","double-click"
"doubel-clling","double-clicking"
"double cling","double-clicking"
"double-cling","double-clicking"
"double-clingoing","double-clicking"
"double-clciks","double-clicks"
"downlaod","download"
"downlod","download"
"downloiad","download"
"downlaoded","downloaded"
"drwawer","drawer"
"drvies","drives"
"drodown","dropdown"
"drpped","dropped"
"edgfe","edge"
"edfge","edge"
"edting","editing"
